Year,Month,Max_Temp,Min_Temp,Rainfall,Relative_Humidity,Wind_Speed,Cloud_Coverage,Bright_Sunshine,Station_Number,X_COR,Y_COR,LATITUDE,LONGITUDE,ALT,Period
2024,3,36.1,25.5,87,78,1.703703704,4.8,7.046808511,41950,536809.8,510151.9,22.7,90.36,4,1950.05
2024,3,33.9,26.4,187,84,0.937037037,6.5,4.823404255,41950,536809.8,510151.9,22.7,90.36,4,1950.09
2024,3,32.2,26.2,555,89,1.424074074,7.1,5.001886792,41883,435303.7,751187.5,24.88,89.36,20,1950.08
2024,3,32.5,25.6,102,82,1.205555556,5.7,5.447169811,41883,435303.7,751187.5,24.88,89.36,20,1950.09
2024,3,35.4,25.6,1033,89,5.2,6.9,3.1,41978,684570.9,471415,22.34,91.79,6,1997.07
2024,3,35.3,26.5,128,82,1.3,5.4,6,41923,540098.6,629248.4,23.78,90.39,9,1968.09
2024,3,33.8,25.6,405,89,2.3,6.4,4,41929,483877.3,610719.3,23.61,89.84,9,1990.07
2024,3,35.4,26.1,523,87,1.2,6.3,4.8,41859,426172.9,844822.3,25.72,89.26,34,1997.07
